,level_0,user_id,lang,date,is_weekend,year,text,lat,lng,governorate,area,links,index,place_id,types
901,901,627261440.0,en,2018-01-16 20:24:00,False,2018,"I'm at Tobys Estate in Kuwait city, Kuwait ",29.375193,47.978153,Capital,Qibla,['https://t.co/VKd3ZoOtfx'],3.0,GhIJKbAApgxgPUAR_b0UHjT9R0A,"['establishment', 'point_of_interest', 'premise', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
903,903,9.05e+17,en,2018-10-03 11:40:00,False,2018,(@ The Library (AUK)) ,29.344337,48.082497,Hawalli,Salmiya,['https://t.co/wytbUO31Kb'],4.0,GhIJgc05eCZYPUARUYL-Qo8KSEA,"['establishment', 'point_of_interest', 'street_address', 'premise', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'country', 'political']"
904,904,9.05e+17,en,2018-11-16 15:31:00,True,2018,I'm at Inga Beauty Salon ,29.34824,48.03152,Hawalli,Sha'ab,['https://t.co/82YwGYQBpG'],4.0,GhIJtyizQSZZPUARwJXs2AgESEA,"['establishment', 'point_of_interest', 'street_address', 'premise', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
906,906,9.05e+17,en,2018-02-27 20:14:00,False,2018,I'm at Kuwait Sporting Club in Kuwait ,29.3429,47.952538,Capital,Keefan,['https://t.co/bfSNQS7hP9'],3.0,GhIJY8xdS8hXPUARPxnjw-z5R0A,"['establishment', 'point_of_interest', 'street_address', 'premise', 'plus_code', 'street_address', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
907,907,9.05e+17,en,2018-03-30 20:28:00,True,2018,"I'm at Mubarak Hospital in Al-Jabriya, Hawally Governorate w/ @fa342_ ",29.325974,48.034466,Hawalli,Jabriya,['https://t.co/qeBOAgYiRk'],,,
909,909,9.05e+17,en,2018-01-16 20:45:00,False,2018,I'm at Qurtuba ,29.310514,47.989407,Capital,Qortuba,['https://t.co/wiRhZJ1bJa'],4.0,GhIJPPNy2H1PPUARfLd546T-R0A,"['establishment', 'point_of_interest', 'premise', 'street_address', 'route', 'plus_code', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
911,911,7.24e+17,un,2018-05-05 11:33:00,True,2018,"I'm at مستشفى الفروانية in Farwaniya, Al Farwaniyah Governate ",29.270203,47.905487,Farwaniya,Sabah Al-Nasser,['https://t.co/gm9X1QYbB0'],2.0,GhIJ9UcYBixFPUARAfp9_-bzR0A,"['premise', 'establishment', 'health', 'point_of_interest', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
912,912,7.24e+17,un,2020-07-19 14:28:00,False,2020,"I'm at The Goat in مدينة الكويت, الكويت ",29.377306,47.984653,Capital,Sharq,"['https://t.co/rHU4mV18YL', 'https://t.co/fJHTvAU4ew']",,,
913,913,7.24e+17,un,2019-12-18 22:49:00,False,2019,"I'm at Abu Fatirah in ضاحية أبو فطيرة, مبارك الكبير ",29.197897,48.098866,Mubarak Al-Kabeer,Abu Ftaira,['https://t.co/RyuFeiP1en'],,,
914,914,7.24e+17,en,2020-01-23 11:35:00,False,2020,"I'm at Starbucks in Shamiya, Kuwait, Al Kuwayt ",29.355978,47.967464,Capital,Shammiya,['https://t.co/rRuntG9Rxj'],,,
915,915,7.24e+17,en,2019-08-29 19:56:00,False,2019,I'm at ALKOUT Mall in Al Ahmadi ,29.078838,48.138863,Ahmadi,Fahaheel,['https://t.co/E8D9V2rARA'],2.0,GhIJmq4nui4UPUAR7s9FQ8YRSEA,"['establishment', 'food', 'point_of_interest', 'restaurant', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
917,917,7.42e+17,ca,2019-09-20 19:14:00,True,2019,"I'm at ستاربكس in Al-Andalus, Al Asimah w/ @32alshaye3 ",29.301489,47.901245,Farwaniya,Andalous,['https://t.co/2E4BrmusLi'],1.0,GhIJjxoTYi5NPUARfVcE_1vzR0A,"['establishment', 'florist', 'point_of_interest', 'store', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
918,918,7.42e+17,un,2018-01-17 17:28:00,False,2018,"I'm at Kuwait International Airport in Al Farwānīyah, Al Farwaniyah ",29.240566,47.970985,Farwaniya,Airport,['https://t.co/zQiNVdRhJ2'],2.0,GhIJj4e-u5U9PUARCvSJPEn8R0A,"['airport', 'establishment', 'point_of_interest', 'bus_station', 'establishment', 'point_of_interest', 'transit_station', 'plus_code', 'route', 'administrative_area_level_1', 'political', 'country', 'political']"
919,919,7.42e+17,en,2019-07-17 17:37:00,False,2019,I'm at Anjefa Beach in Salwa ,29.277079,48.089134,Mubarak Al-Kabeer,Sabah Al-Salem,['https://t.co/3Z6tt7B9m4'],,,
920,920,7.42e+17,ar,2018-03-24 22:29:00,True,2018,I'm at جمعية حطين - فرع قطعه ١ in حطين ,29.285648,48.027973,Hawalli,Hitteen,['https://t.co/HAnaPFDlxB'],,,
922,922,7.42e+17,in,2021-01-19 21:03:00,False,2021,I'm at Dubai'ya 233 ,28.986288,48.164165,Ahmadi,Shalihat,['https://t.co/9exYoI1Na9'],0.0,GhIJ8G_QXn38PEAR7BLVWwMVSEA,"['plus_code', 'establishment', 'point_of_interest', 'route', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
923,923,7.42e+17,en,2018-12-22 14:24:00,True,2018,I'm at Kuwait City in Kuwait ,29.37808,47.97339,Capital,Qibla,['https://t.co/jM7jPArRsV'],,,
925,925,7.42e+17,en,2018-05-05 10:45:00,True,2018,I'm at College of Sharia' &amp; Islamic Studies in Kaifan ,29.336752,47.950882,Capital,Keefan,['https://t.co/YKj9659k6E'],,,
926,926,7.42e+17,en,2018-10-11 11:45:00,False,2018,"I'm at Al-Surra in As-Surrah, Al Asimah w/ @ninetyysix_ ",29.384119,47.98899,Capital,Sharq,['https://t.co/DvBxYRq4gA'],3.0,GhIJscVun1ViPUARGAltOZf-R0A,"['establishment', 'food', 'point_of_interest', 'restaurant', 'premise', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
927,927,7.26e+17,en,2020-02-02 18:00:00,False,2020,I'm at khaleejiya tower ,29.375956,47.993275,Capital,Sharq,['https://t.co/nhiI1TwCyi'],3.0,GhIJJ7wEpz5gPUARmnecoiP_R0A,"['establishment', 'food', 'point_of_interest', 'restaurant', 'premise', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
928,928,7.26e+17,un,2018-02-17 14:18:00,True,2018,"I'm at دوانيه بو سند in Jabriya, Hawalli ",29.318058,48.025806,Hawalli,Jabriya,['https://t.co/kcXc8E8vFl'],,,
929,929,7.26e+17,ca,2018-04-06 23:32:00,True,2018,"I'm at Kuwait International Airport in Al Farwānīyah, Al Farwaniyah ",29.241035,47.970745,Farwaniya,Airport,['https://t.co/x7WroKHxqA'],1.0,GhIJ_jBCeLQ9PUARteBFX0H8R0A,"['establishment', 'food', 'point_of_interest', 'plus_code', 'route', 'airport', 'establishment', 'point_of_interest', 'administrative_area_level_1', 'political', 'country', 'political']"
931,931,7.26e+17,ar,2018-02-19 16:18:00,False,2018,❤️ (@ صباح الناصر) ,29.272076,47.879494,Farwaniya,Sabah Al-Nasser,['https://t.co/hVje2ZKxCX'],3.0,GhIJyQbSxaZFPUARnYNnQpPwR0A,"['cafe', 'establishment', 'food', 'point_of_interest', 'store', 'premise', 'route', 'plus_code', 'street_address', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
932,932,7.26e+17,en,2018-02-27 19:33:00,False,2018,"I'm at The Gate Mall in Kuwait city, Kuwait ",29.174498,48.097694,Ahmadi,Egaila,['https://t.co/aJaLtYrCvC'],2.0,GhIJpzej5qssPUAR-YGrPIEMSEA,"['doctor', 'establishment', 'health', 'point_of_interest', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
933,933,7.26e+17,en,2018-04-13 14:42:00,True,2018,"I'm at Starbucks in Al-Andalus, Al Asimah w/ @h_aj_ ",29.301483,47.901333,Farwaniya,Andalous,['https://t.co/IJFLyAuXn2'],,,
934,934,7.26e+17,en,2017-12-30 20:42:00,True,2017,"I'm at 360\xb0 @Mall360 in Kuwait City, Al Asimah w/ @46x_1 @the45x @m_altshani @ghanimaalt48x_ ",29.267704,47.992706,Hawalli,Zahra,['https://t.co/X3N3CHwRZz'],3.0,GhIJJQLVP4hEPUARgEV-_RD_R0A,"['clothing_store', 'establishment', 'point_of_interest', 'store', 'street_address', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
935,935,3032560100.0,en,2018-04-14 12:39:00,True,2018,I'm at H&amp;M vision ,29.33872,48.06871,Hawalli,Salmiya,['https://t.co/3KTLiKAPVV'],2.0,GhIJSICaWrZWPUARPnRBfcsISEA,"['establishment', 'general_contractor', 'point_of_interest', 'establishment', 'point_of_interest', 'transit_station', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
936,936,9.93e+17,en,2018-05-12 19:47:00,True,2018,I'm at Trolley ,29.318928,47.984737,Capital,Qortuba,['https://t.co/9MpiRBe5PG'],3.0,GhIJWMfxQ6VRPUARoBSt3Av-R0A,"['establishment', 'gas_station', 'point_of_interest', 'street_address', 'premise', 'plus_code', 'street_address', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
937,937,9.93e+17,en,2018-08-26 00:40:00,False,2018,\U0001f926\U0001f3fb‍♀️\U0001f493 (@ salwa block 4 in Kuwait) ,29.299265,48.08359,Hawalli,Salwa,['https://t.co/ma0DENAlbE'],3.0,GhIJYtaLoZxMPUAR5iK-E7MKSEA,"['street_address', 'establishment', 'point_of_interest', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
939,939,285592640.0,en,2018-01-22 10:06:00,False,2018,Me time\U0001f338\U0001f49c (@ TOPCOAT Nailspa in Kuwait) ,29.3742,48.00455,Capital,Bned Al-Gar,['https://t.co/IpE2wrCXLB'],,,
941,941,9.02e+17,un,2018-09-28 00:20:00,True,2018,I'm at ستاربكس |Starbucks Coffee ,29.315088,47.847233,Capital,Sulaibikhat,['https://t.co/gma34qB7H1'],2.0,GhIJr1xvm6lQPUARxYuFIXLsR0A,"['establishment', 'point_of_interest', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
942,942,9.02e+17,en,2019-04-12 13:10:00,True,2019,"I'm at The Avenues in Kuwait City, Al Farwaniyah Governorate ",29.27746,47.910988,Farwaniya,Ardhiya - 6,['https://t.co/Rk81QfG1bj'],2.0,GhIJuvJZngdHPUARM4Y5QZv0R0A,"['premise', 'establishment', 'point_of_interest', 'university', 'plus_code', 'route', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
945,945,9.02e+17,en,2018-05-04 22:39:00,True,2018,"I'm at Cozmo - Khairan Pearl in Kuwait City, Al Asimah ",28.662092,48.365486,Ahmadi,Sabah Al-Ahmad Al-Bahrya,['https://t.co/lMBCqIitzZ'],1.0,GhIJePF-3H6pPEARrJLIPsguSEA,"['establishment', 'food', 'point_of_interest', 'restaurant', 'plus_code', 'route', 'locality', 'political', 'neighborhood', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
946,946,9.02e+17,ca,2019-10-01 18:43:00,False,2019,😑 (@ Al Shuwaikh Industrial Area) ,29.324583,47.945023,Capital,Shuwaikh Industrial - 2,['https://t.co/RRyDjwWu7M'],,,
947,947,9.2e+17,en,2019-05-03 15:33:00,True,2019,I'm at The Cheesecake Factory in Kuwait ,29.3328,48.0286,Hawalli,Hawalli,['https://t.co/VJegnhhe2L'],3.0,GhIJ2ht8YTJVPUARMlUwKqkDSEA,"['premise', 'convenience_store', 'establishment', 'food', 'point_of_interest', 'store', 'route', 'plus_code', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
948,948,9.2e+17,ar,2018-10-06 08:57:00,True,2018,I'm at \u0634\u0631\u0643\u0629 \u0623\u0639\u064a\u0627\u0646 \u0644\u0635\u064a\u0627\u0646\u0629 \u0627\u0644\u0633\u064a\u0627\u0631\u0627\u062a ,29.37662,47.9692,Capital,Qibla,['https://t.co/S4E772nsM9'],1.0,GhIJ_wQXK2pgPUARQKTfvg78R0A,"['establishment', 'point_of_interest', 'store', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'country', 'political']"
950,950,9.2e+17,en,2020-01-03 16:11:00,True,2020,I'm at McDonald's ,28.796865,48.270367,Ahmadi,Araifjan,['https://t.co/XwuNgNd5bu'],2.0,GhIJuFM6WP_LPEARdXXHYpsiSEA,"['establishment', 'food', 'point_of_interest', 'restaurant', 'premise', 'plus_code', 'route', 'administrative_area_level_1', 'political', 'country', 'political']"
952,952,9.2e+17,en,2018-07-04 14:14:00,False,2018,Lab \U0001f52c (@ 32KH College Of Science) ,29.324255,47.971214,Capital,Khalidiya,['https://t.co/aWY5NFH9lB'],,,
953,953,9.2e+17,en,2020-01-13 17:01:00,False,2020,"I'm at Firefly Burger in Salmiya, Hawalli ",29.34588,48.086475,Hawalli,Salmiya,['https://t.co/GeIB4ZHEfV'],2.0,GhIJKld4l4tYPUAR93XgnBELSEA,"['establishment', 'finance', 'point_of_interest', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'country', 'political']"
955,955,9.2e+17,en,2018-11-08 20:58:00,False,2018,"I'm at Tobys Estate in Kuwait city, Kuwait w/ @malmejren_68 ",29.3752,47.978188,Capital,Qibla,['https://t.co/a8rGg6ydVA'],4.0,GhIJjnVxGw1gPUAReauuQzX9R0A,"['establishment', 'point_of_interest', 'premise', 'street_address', 'route', 'plus_code', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
957,957,9.2e+17,ca,2020-09-21 23:47:00,False,2020,"I'm at Al-Arabi Sports Club النادي العربي الرياضي - @alarabiclub_kw in Al-Manṣūriyah, Al Asimah w/ @mmothafar… ",29.356571,47.99986,Capital,Mansouriya,['https://t.co/j5HI0pJyni'],2.0,GhIJtrOvPEhbPUARDkqYafv_R0A,"['establishment', 'point_of_interest', 'transit_station', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
958,958,9.2e+17,lv,2019-07-17 21:35:00,False,2019,"I'm at Toby's Estate in As Sālimīyah, Muḩāfaz̧at Ḩawallī ",29.345978,48.0852,Hawalli,Salmiya,"['https://t.co/fzyqIMocD7', 'https://t.co/Ht8Fr90sRW']",1.0,GhIJryKjA5JYPUARQs9m1ecKSEA,"['cafe', 'establishment', 'food', 'point_of_interest', 'store', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'country', 'political']"
959,959,2182479900.0,ar,2020-10-25 06:43:00,False,2020,I'm at فريش المنعش ,29.300516,47.915688,Farwaniya,Riggae,['https://t.co/YNk0sboeDg'],3.0,GhIJvOzXne5MPUAReauuQzX1R0A,"['establishment', 'food', 'point_of_interest', 'premise', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
961,961,2182479900.0,en,2019-06-17 11:26:00,False,2019,I'm at Cool Berry in Kuwait ,29.360794,47.954525,Capital,Shuwaikh,['https://t.co/JbBFZp4v9H'],,,
962,962,4502100500.0,en,2018-07-05 20:49:00,False,2018,I'm at Bowling'36O Mall ,29.26767,47.993256,Hawalli,Zahra,['https://t.co/OCvIcDiUcu'],3.0,GhIJzB5oBYZEPUARI0c6AyP_R0A,"['establishment', 'food', 'point_of_interest', 'restaurant', 'street_address', 'premise', 'plus_code', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
963,963,4502100500.0,in,2018-11-30 21:46:00,True,2018,"I'm at Chalet K278 in Al Khiran, Al Asimah ",28.667776,48.366405,Ahmadi,Sabah Al-Ahmad Al-Bahrya,['https://t.co/chwIijk8pu'],1.0,GhIJvw0xXvOqPEARogvqW-YuSEA,"['establishment', 'lodging', 'point_of_interest', 'police', 'plus_code', 'premise', 'route', 'locality', 'political', 'neighborhood', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
964,964,1602295300.0,en,2019-04-05 20:03:00,True,2019,"I'm at Tobys Estate in Kuwait city, Kuwait ",29.26243,48.063984,Mubarak Al-Kabeer,Sabah Al-Salem,['https://t.co/oBnni7w60X'],,,
967,967,8.82e+17,en,2018-01-21 18:31:00,False,2018,I'm at joy - the spot in The spot ,29.26497,48.08711,Mubarak Al-Kabeer,Sabah Al-Salem,['https://t.co/wTc9EiX8AF'],1.0,GhIJz2vsEtVDPUARyJOkayYLSEA,"['establishment', 'food', 'point_of_interest', 'restaurant', 'plus_code', 'route', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
969,969,8.82e+17,en,2018-10-24 13:53:00,False,2018,"I'm at College of Engineering and Petroleum in Khaldiya, Kuwait ",29.32031,47.9718,Capital,Khalidiya,['https://t.co/2UoRhLTFId'],2.0,GhIJ7pQO1v9RPUARXCBB8WP8R0A,"['premise', 'establishment', 'local_government_office', 'point_of_interest', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
970,970,8.82e+17,un,2018-01-18 23:13:00,False,2018,I'm at اشارة الضاحيه و الديره in Al Asimah ,29.357946,47.974667,Capital,Abdullah Al-Salem,['https://t.co/n9LQA7GMVm'],1.0,GhIJ6btbWaJbPUARxr5k48H8R0A,"['establishment', 'point_of_interest', 'plus_code', 'route', 'administrative_area_level_1', 'political', 'country', 'political']"
971,971,8.82e+17,en,2018-12-05 11:31:00,False,2018,I'm at Gold Coffee w/ @alhamli_66 ,29.294073,47.909668,Farwaniya,Ardhiya - 6,['https://t.co/idxzkfjtbw'],2.0,GhIJ-KI9XkhLPUAR3htDAHD0R0A,"['bakery', 'establishment', 'food', 'point_of_interest', 'store', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
972,972,8.82e+17,en,2019-10-17 20:52:00,False,2019,"I'm at Starbucks in Al Kuwayt, Hawalli ",29.290335,47.991074,Hawalli,Siddiq,['https://t.co/CPRUMAvxbS'],2.0,GhIJWOIBZVNKPUARPPVIg9v-R0A,"['convenience_store', 'establishment', 'food', 'point_of_interest', 'store', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
974,974,402732480.0,en,2018-02-28 16:58:00,False,2018,I'm at MUG coffee house ,29.099262,48.13721,Ahmadi,Mangaf,['https://t.co/qH5uIzpC6T'],3.0,GhIJTbwDPGkZPUARklfnGJARSEA,"['establishment', 'point_of_interest', 'street_address', 'premise', 'plus_code', 'street_address', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
975,975,402732480.0,da,2018-01-05 21:24:00,True,2018,I'm at Hambooba Burger Bar in Mubarak Al-kabeer ,29.215548,48.1034,Mubarak Al-Kabeer,Fineitees,['https://t.co/eQa3vRmTEn'],1.0,GhIJ3LdaJy43PUARBTQRNjwNSEA,"['establishment', 'food', 'point_of_interest', 'restaurant', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
977,977,9.42e+17,en,2019-07-17 09:14:00,False,2019,"I'm at Al-firdous in Al-Firdaws, Al Asimah ",29.287895,47.87168,Farwaniya,Firdous,['https://t.co/yrLaRbzz4q'],1.0,GhIJk66ZfLNJPUAR5EnSNZPvR0A,"['establishment', 'point_of_interest', 'plus_code', 'street_address', 'premise', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
978,978,9.42e+17,tl,2018-06-01 21:49:00,True,2018,I'm at Arabica % Shuwaikh in Shuwaikh ,29.342106,47.939472,Capital,Shuwaikh Industrial - 1,['https://t.co/ggfYYIQlZS'],,,
979,979,9.42e+17,ar,2018-11-20 13:22:00,False,2018,I'm at الفنطاس ,29.170034,48.114773,Ahmadi,Fintas,['https://t.co/xVH3ERnq7K'],1.0,GhIJQzUlWYcrPUARXru04bAOSEA,"['establishment', 'point_of_interest', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
981,981,9.42e+17,en,2018-06-14 22:12:00,False,2018,I'm at VOL.1 in Kuwait City ,29.374065,47.97961,Capital,Qibla,['https://t.co/Y7LgzopTlc'],5.0,GhIJB5RNucJfPUAR02pI3GP9R0A,"['street_address', 'establishment', 'point_of_interest', 'premise', 'street_address', 'route', 'plus_code', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
984,984,9.42e+17,ar,2019-04-18 16:40:00,False,2019,"اخر يوم🕺🏻 (@ المعهد العالي للاتصالات و الملاحة - @paaet_at in Shuwaikh, Kuwait) ",29.299612,47.90866,Farwaniya,Riggae,['https://t.co/7EJ7vRZaIC'],3.0,GhIJOn09X7NMPUAReJeL-E70R0A,"['beauty_salon', 'establishment', 'point_of_interest', 'establishment', 'point_of_interest', 'transit_station', 'premise', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
985,985,9.42e+17,ca,2019-09-07 00:19:00,True,2019,"👋🏽 (@ Kuwait International Airport - @kuwaitairports in Al Farwānīyah, Al Farwaniyah w/ @y_ilessa) ",29.23941,47.971497,Farwaniya,Airport,['https://t.co/U0qfstDRG2'],1.0,GhIJ21VI-Uk9PUARwJSBA1r8R0A,"['airport', 'establishment', 'point_of_interest', 'plus_code', 'route', 'administrative_area_level_1', 'political', 'country', 'political']"
986,986,7.92e+17,un,2019-07-01 09:46:00,False,2019,مابغينا نرد (@ Diwaniya w/ @26asr__ @yousef_hashemi) ,29.217186,48.0643,Mubarak Al-Kabeer,Al-Qusour,['https://t.co/EUeoo3JPuR'],3.0,GhIJKSZvgJk3PUAR_5B--zoISEA,"['establishment', 'lodging', 'point_of_interest', 'premise', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'administrative_area_level_1', 'political', 'country', 'political']"
988,988,7.92e+17,en,2019-12-21 13:16:00,True,2019,"I'm at Al-Raya Center in Kuwait City, Al Asimah ",29.377096,47.9904,Capital,Sharq,['https://t.co/EGLwOBBpDI'],3.0,GhIJ0XMLXYlgPUARrfpcbcX-R0A,"['establishment', 'food', 'point_of_interest', 'restaurant', 'street_address', 'establishment', 'point_of_interest', 'transit_station', 'plus_code', 'street_address', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
990,990,7.92e+17,ca,2019-08-16 09:54:00,True,2019,"I'm at Kuwait International Airport in Al Farwānīyah, Al Farwaniyah ",29.24056,47.97106,Farwaniya,Airport,['https://t.co/vloh9EtnUN'],,,
991,991,7.92e+17,ca,2019-09-09 03:14:00,False,2019,"I'm at مطار الكويت الدولي - @kuwaitairports in Al Farwānīyah, Al Farwaniyah ",29.23941,47.971497,Farwaniya,Airport,['https://t.co/W15fiFhTEu'],1.0,GhIJ21VI-Uk9PUARwJSBA1r8R0A,"['airport', 'establishment', 'point_of_interest', 'plus_code', 'route', 'administrative_area_level_1', 'political', 'country', 'political']"
992,992,7.92e+17,en,2018-06-24 13:37:00,False,2018,I'm at StarBucks ACK in West Meshrif w/ @_f32x_ ,29.276535,48.05209,Hawalli,Mubarak Al-Abdullah Al-Gaber,['https://t.co/MUwUevCMu6'],1.0,GhIJCTNt_8pGPUARbTmX4qoGSEA,"['cafe', 'establishment', 'food', 'point_of_interest', 'plus_code', 'route', 'neighborhood', 'political', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
993,993,7.92e+17,en,2018-04-09 16:59:00,False,2018,"I'm at College of law (KU) in Kuwait City, Al Asimah ",29.342855,47.91501,Capital,Shuwaikh Education,['https://t.co/4i0Sevdy9C'],1.0,GhIJI0VkWMVXPUARqME0DB_1R0A,"['establishment', 'point_of_interest', 'university', 'plus_code', 'route', 'political', 'sublocality', 'sublocality_level_1', 'country', 'political']"
995,995,7.92e+17,en,2018-04-27 18:07:00,True,2018,I'm at Jalboot Village in Al Ahmadi w/ @albannai272 ,28.680136,48.371826,Ahmadi,Sabah Al-Ahmad Al-Bahrya,['https://t.co/bU7FkCzDjZ'],1.0,GhIJD9WUZB2uPEARuOaO_pcvSEA,"['cafe', 'establishment', 'food', 'point_of_interest', 'plus_code', 'route', 'locality', 'political', 'neighborhood', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
997,997,7.92e+17,en,2018-08-24 20:00:00,True,2018,"I'm at Face/Off Cafe in Kuwait City, Al Kuwayt w/ @xfs37x_ ",29.384119,47.98899,Capital,Sharq,['https://t.co/ZATnyO9sme'],3.0,GhIJscVun1ViPUARGAltOZf-R0A,"['establishment', 'food', 'point_of_interest', 'restaurant', 'premise', 'street_address', 'plus_code', 'route', 'neighborhood', 'political', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
998,998,363914180.0,en,2018-10-30 14:13:00,False,2018,I'm at Cariboa Shaab ,29.350546,48.020386,Hawalli,Sha'ab,['https://t.co/8nyg4yZiwf'],,,
999,999,363914180.0,ca,2018-08-17 20:17:00,True,2018,"I'm at Arabica % Al Salmiya in As Sālimīyah, Hawalli ",29.34544,48.084175,Hawalli,Salmiya,['https://t.co/GY6Z6QeCPu'],,,
1000,1000,508206700.0,en,2018-05-02 20:14:00,False,2018,"I'm at Toby’s Estate in Kuwait City, Al Kuwayt ",29.341076,47.941883,Capital,Shuwaikh Industrial - 1,['https://t.co/NxMpizIm8k'],4.0,GhIJVHO5wVBXPUARRdREn4_4R0A,"['cafe', 'establishment', 'food', 'point_of_interest', 'store', 'street_address', 'premise', 'route', 'plus_code', 'political', 'sublocality', 'sublocality_level_1', 'locality', 'political', 'administrative_area_level_1', 'political', 'country', 'political']"
